Sample,generation,treatment,trt_type,gen_in_ab,gen_in_ctrl,sample_number
SJ-0-C1,0,C1,CTRL,0,1,1
SJ-0-C2,0,C1,CTRL,0,1,2
SJ-0-C3,0,C1,CTRL,0,1,3
SJ-0-C4,0,C1,CTRL,0,1,4
SJ-0-AB4,0,A1,AB,1,0,1
SJ-0-AB2,0,A1,AB,1,0,2
SJ-0-AB3,0,A1,AB,1,0,3
SJ-1-C1,1,C2,CTRL,0,2,1
SJ-1-C3,1,C2,CTRL,0,2,2
SJ-1-C4,1,C2,CTRL,0,2,3
SJ-1-AB1,1,A2,AB,2,0,1
SJ-1-AB2,1,A2,AB,2,0,2
SJ-1-AB3,1,A2,AB,2,0,3
SJ-1-ABC-A1,1,R1->1,REC,1,1,1
SJ-1-ABC-A2,1,R1->1,REC,1,1,2
SJ-1-ABC-A3,1,R1->1,REC,1,1,3
SJ-1-ABC-A4,1,R1->1,REC,1,1,4
SJ-2-C1,2,C3,CTRL,0,3,1
SJ-2-C2,2,C3,CTRL,0,3,2
SJ-2-C3,2,C3,CTRL,0,3,3
SJ-2-C4,2,C3,CTRL,0,3,4
SJ-2-AB1,2,A3,AB,3,0,1
SJ-2-AB2,2,A3,AB,3,0,2
SJ-2-AB3,2,A3,AB,3,0,3
SJ-2-AB4,2,A3,AB,3,0,4
SJ-2-ABC-A1,2,R1->2,REC,1,2,1
SJ-2-ABC-A2,2,R1->2,REC,1,2,2
SJ-2-ABC-A3,2,R1->2,REC,1,2,3
SJ-2-ABC-A4,2,R1->2,REC,1,2,4
SJ-2-ABC-B1,2,R2->1,REC,2,1,1
SJ-2-ABC-B2,2,R2->1,REC,2,1,2
SJ-2-ABC-B3,2,R2->1,REC,2,1,3
SJ-2-ABC-B4,2,R2->1,REC,2,1,4
SJ-3-C1,3,C4,CTRL,0,4,1
SJ-3-C2,3,C4,CTRL,0,4,2
SJ-3-C3,3,C4,CTRL,0,4,3
SJ-3-C4,3,C4,CTRL,0,4,4
SJ-3-AB1,3,A4,AB,4,0,1
SJ-3-AB2,3,A4,AB,4,0,2
SJ-3-AB3,3,A4,AB,4,0,3
SJ-3-ABC-A1,3,R1->3,REC,1,3,1
SJ-3-ABC-A2,3,R1->3,REC,1,3,2
SJ-3-ABC-A3,3,R1->3,REC,1,3,3
SJ-3-ABC-A4,3,R1->3,REC,1,3,4
SJ-3-ABC-B1,3,R2->2,REC,2,2,1
SJ-3-ABC-B2,3,R2->2,REC,2,2,2
SJ-3-ABC-B4,3,R2->2,REC,2,2,3
SJ-3-ABC-C1,3,R3->1,REC,3,1,1
SJ-3-ABC-C2,3,R3->1,REC,3,1,2
SJ-3-ABC-C3,3,R3->1,REC,3,1,3
SJ-3-ABC-C4,3,R3->1,REC,3,1,4
SJ-4-C1,4,C5,CTRL,0,5,1
SJ-4-C2,4,C5,CTRL,0,5,2
SJ-4-C3,4,C5,CTRL,0,5,3
SJ-4-C4,4,C5,CTRL,0,5,4
SJ-4-AB2,4,A5,AB,5,0,1
SJ-4-AB3,4,A5,AB,5,0,2
SJ-4-ABC-A1,4,R1->4,REC,1,4,1
SJ-4-ABC-A2,4,R1->4,REC,1,4,2
SJ-4-ABC-A3,4,R1->4,REC,1,4,3
SJ-4-ABC-A4,4,R1->4,REC,1,4,4
SJ-4-ABC-B1,4,R2->3,REC,2,3,1
SJ-4-ABC-B2,4,R2->3,REC,2,3,2
SJ-4-ABC-B3,4,R2->3,REC,2,3,3
SJ-4-ABC-B4,4,R2->3,REC,2,3,4
SJ-4-ABC-C1,4,R3->2,REC,3,2,1
SJ-4-ABC-C2,4,R3->2,REC,3,2,2
SJ-4-ABC-C3,4,R3->2,REC,3,2,3
SJ-4-ABC-C4,4,R3->2,REC,3,2,4
SJ-4-ABC-D1,4,R4->1,REC,4,1,1
SJ-4-ABC-D2,4,R4->1,REC,4,1,2
SJ-4-ABC-D3,4,R4->1,REC,4,1,3
SJ-4-ABC-D4,4,R4->1,REC,4,1,4
SJ-5-AB3-J,5,A6,AB,6,0,1
SJ-5-ABC-A1-J,5,R1->5,REC,1,5,1
SJ-5-ABC-A3-J,5,R1->5,REC,1,5,2
SJ-5-ABC-C1,5,R3->3,REC,3,3,1
SJ-5-ABC-C2,5,R3->3,REC,3,3,2
SJ-5-ABC-C3,5,R3->3,REC,3,3,3
SJ-5-C1-J,5,C6,CTRL,0,6,1
SJ-5-C2-J,5,C6,CTRL,0,6,2
SJ-5-C3-J,5,C6,CTRL,0,6,3
SJ-5-C4-J,5,C6,CTRL,0,6,4
