gen,treatment,detailed_treatment,day,number_alive,total_in_treatment
0,CTRL,C1,0,24,24
0,CTRL,C1,1,24,24
0,CTRL,C1,2,24,24
0,CTRL,C1,3,24,24
0,CTRL,C1,4,24,24
0,CTRL,C1,5,24,24
0,CTRL,C1,6,24,24
0,CTRL,C1,7,24,24
0,CTRL,C1,8,24,24
0,CTRL,C1,9,24,24
0,CTRL,C1,10,24,24
0,CTRL,C1,11,24,24
0,CTRL,C1,12,24,24
0,CTRL,C1,13,24,24
0,CTRL,C1,14,24,24
0,CTRL,C1,15,24,24
0,CTRL,C1,16,24,24
0,CTRL,C1,17,24,24
0,CTRL,C1,18,24,24
0,CTRL,C1,19,24,24
0,CTRL,C1,20,24,24
0,AB,A1,0,24,24
0,AB,A1,1,24,24
0,AB,A1,2,24,24
0,AB,A1,3,24,24
0,AB,A1,4,24,24
0,AB,A1,5,24,24
0,AB,A1,6,24,24
0,AB,A1,7,24,24
0,AB,A1,8,24,24
0,AB,A1,9,24,24
0,AB,A1,10,24,24
0,AB,A1,11,24,24
0,AB,A1,12,24,24
0,AB,A1,13,24,24
0,AB,A1,14,23,24
0,AB,A1,15,23,24
0,AB,A1,16,23,24
0,AB,A1,17,23,24
0,AB,A1,18,23,24
0,AB,A1,19,23,24
0,AB,A1,20,23,24
1,CTRL,C2,0,24,24
1,CTRL,C2,1,24,24
1,CTRL,C2,2,24,24
1,CTRL,C2,3,24,24
1,CTRL,C2,4,24,24
1,CTRL,C2,5,24,24
1,CTRL,C2,6,24,24
1,CTRL,C2,7,24,24
1,CTRL,C2,8,24,24
1,CTRL,C2,9,24,24
1,CTRL,C2,10,23,24
1,CTRL,C2,11,23,24
1,CTRL,C2,12,23,24
1,CTRL,C2,13,23,24
1,CTRL,C2,14,23,24
1,CTRL,C2,15,23,24
1,CTRL,C2,16,23,24
1,CTRL,C2,17,23,24
1,CTRL,C2,18,22,24
1,CTRL,C2,19,22,24
1,CTRL,C2,20,21,24
1,AB,A2,0,24,24
1,AB,A2,1,24,24
1,AB,A2,2,24,24
1,AB,A2,3,24,24
1,AB,A2,4,24,24
1,AB,A2,5,24,24
1,AB,A2,6,24,24
1,AB,A2,7,24,24
1,AB,A2,8,24,24
1,AB,A2,9,24,24
1,AB,A2,10,24,24
1,AB,A2,11,24,24
1,AB,A2,12,24,24
1,AB,A2,13,24,24
1,AB,A2,14,24,24
1,AB,A2,15,24,24
1,AB,A2,16,24,24
1,AB,A2,17,24,24
1,AB,A2,18,24,24
1,AB,A2,19,24,24
1,AB,A2,20,24,24
1,REC,R1->1,0,24,24
1,REC,R1->1,1,24,24
1,REC,R1->1,2,24,24
1,REC,R1->1,3,24,24
1,REC,R1->1,4,24,24
1,REC,R1->1,5,24,24
1,REC,R1->1,6,24,24
1,REC,R1->1,7,24,24
1,REC,R1->1,8,24,24
1,REC,R1->1,9,24,24
1,REC,R1->1,10,24,24
1,REC,R1->1,11,24,24
1,REC,R1->1,12,24,24
1,REC,R1->1,13,24,24
1,REC,R1->1,14,24,24
1,REC,R1->1,15,24,24
1,REC,R1->1,16,24,24
1,REC,R1->1,17,24,24
1,REC,R1->1,18,24,24
1,REC,R1->1,19,24,24
1,REC,R1->1,20,24,24
2,CTRL,C3,0,24,24
2,CTRL,C3,1,24,24
2,CTRL,C3,2,24,24
2,CTRL,C3,3,24,24
2,CTRL,C3,4,24,24
2,CTRL,C3,5,24,24
2,CTRL,C3,6,24,24
2,CTRL,C3,7,24,24
2,CTRL,C3,8,24,24
2,CTRL,C3,9,24,24
2,CTRL,C3,10,24,24
2,CTRL,C3,11,24,24
2,CTRL,C3,12,24,24
2,CTRL,C3,13,24,24
2,CTRL,C3,14,24,24
2,CTRL,C3,15,24,24
2,CTRL,C3,16,24,24
2,CTRL,C3,17,24,24
2,CTRL,C3,18,24,24
2,CTRL,C3,19,24,24
2,CTRL,C3,20,24,24
2,AB,A3,0,24,24
2,AB,A3,1,24,24
2,AB,A3,2,22,24
2,AB,A3,3,22,24
2,AB,A3,4,22,24
2,AB,A3,5,22,24
2,AB,A3,6,17,24
2,AB,A3,7,16,24
2,AB,A3,8,16,24
2,AB,A3,9,16,24
2,AB,A3,10,16,24
2,AB,A3,11,16,24
2,AB,A3,12,16,24
2,AB,A3,13,16,24
2,AB,A3,14,16,24
2,AB,A3,15,16,24
2,AB,A3,16,16,24
2,AB,A3,17,16,24
2,AB,A3,18,16,24
2,AB,A3,19,16,24
2,AB,A3,20,16,24
2,REC,R2->1,0,24,24
2,REC,R2->1,1,24,24
2,REC,R2->1,2,24,24
2,REC,R2->1,3,24,24
2,REC,R2->1,4,23,24
2,REC,R2->1,5,23,24
2,REC,R2->1,6,21,24
2,REC,R2->1,7,21,24
2,REC,R2->1,8,21,24
2,REC,R2->1,9,21,24
2,REC,R2->1,10,20,24
2,REC,R2->1,11,20,24
2,REC,R2->1,12,20,24
2,REC,R2->1,13,20,24
2,REC,R2->1,14,20,24
2,REC,R2->1,15,20,24
2,REC,R2->1,16,20,24
2,REC,R2->1,17,20,24
2,REC,R2->1,18,19,24
2,REC,R2->1,19,19,24
2,REC,R2->1,20,19,24
2,REC,R1->2,0,24,24
2,REC,R1->2,1,24,24
2,REC,R1->2,2,24,24
2,REC,R1->2,3,24,24
2,REC,R1->2,4,24,24
2,REC,R1->2,5,24,24
2,REC,R1->2,6,21,24
2,REC,R1->2,7,21,24
2,REC,R1->2,8,21,24
2,REC,R1->2,9,21,24
2,REC,R1->2,10,21,24
2,REC,R1->2,11,21,24
2,REC,R1->2,12,21,24
2,REC,R1->2,13,21,24
2,REC,R1->2,14,21,24
2,REC,R1->2,15,21,24
2,REC,R1->2,16,21,24
2,REC,R1->2,17,21,24
2,REC,R1->2,18,21,24
2,REC,R1->2,19,21,24
2,REC,R1->2,20,21,24
3,CTRL,C4,0,23,23
3,CTRL,C4,1,23,23
3,CTRL,C4,2,23,23
3,CTRL,C4,3,23,23
3,CTRL,C4,4,23,23
3,CTRL,C4,5,23,23
3,CTRL,C4,6,23,23
3,CTRL,C4,7,23,23
3,CTRL,C4,8,23,23
3,CTRL,C4,9,23,23
3,CTRL,C4,10,23,23
3,CTRL,C4,11,22,23
3,CTRL,C4,12,22,23
3,CTRL,C4,13,22,23
3,CTRL,C4,14,22,23
3,CTRL,C4,15,21,23
3,CTRL,C4,16,20,23
3,CTRL,C4,17,20,23
3,CTRL,C4,18,20,23
3,CTRL,C4,19,20,23
3,CTRL,C4,20,20,23
3,AB,A4,0,21,21
3,AB,A4,1,21,21
3,AB,A4,2,21,21
3,AB,A4,3,21,21
3,AB,A4,4,16,21
3,AB,A4,5,16,21
3,AB,A4,6,14,21
3,AB,A4,7,14,21
3,AB,A4,8,14,21
3,AB,A4,9,14,21
3,AB,A4,10,14,21
3,AB,A4,11,14,21
3,AB,A4,12,14,21
3,AB,A4,13,14,21
3,AB,A4,14,14,21
3,AB,A4,15,14,21
3,AB,A4,16,14,21
3,AB,A4,17,14,21
3,AB,A4,18,14,21
3,AB,A4,19,14,21
3,AB,A4,20,14,21
3,REC,R3->1,0,24,24
3,REC,R3->1,1,24,24
3,REC,R3->1,2,23,24
3,REC,R3->1,3,21,24
3,REC,R3->1,4,21,24
3,REC,R3->1,5,21,24
3,REC,R3->1,6,21,24
3,REC,R3->1,7,21,24
3,REC,R3->1,8,21,24
3,REC,R3->1,9,21,24
3,REC,R3->1,10,21,24
3,REC,R3->1,11,21,24
3,REC,R3->1,12,21,24
3,REC,R3->1,13,20,24
3,REC,R3->1,14,20,24
3,REC,R3->1,15,20,24
3,REC,R3->1,16,20,24
3,REC,R3->1,17,20,24
3,REC,R3->1,18,20,24
3,REC,R3->1,19,20,24
3,REC,R3->1,20,20,24
3,REC,R2->2,0,24,24
3,REC,R2->2,1,24,24
3,REC,R2->2,2,24,24
3,REC,R2->2,3,24,24
3,REC,R2->2,4,23,24
3,REC,R2->2,5,23,24
3,REC,R2->2,6,22,24
3,REC,R2->2,7,22,24
3,REC,R2->2,8,22,24
3,REC,R2->2,9,22,24
3,REC,R2->2,10,22,24
3,REC,R2->2,11,22,24
3,REC,R2->2,12,21,24
3,REC,R2->2,13,21,24
3,REC,R2->2,14,21,24
3,REC,R2->2,15,21,24
3,REC,R2->2,16,21,24
3,REC,R2->2,17,21,24
3,REC,R2->2,18,21,24
3,REC,R2->2,19,21,24
3,REC,R2->2,20,21,24
3,REC,R1->3,0,22,22
3,REC,R1->3,1,22,22
3,REC,R1->3,2,22,22
3,REC,R1->3,3,22,22
3,REC,R1->3,4,20,22
3,REC,R1->3,5,20,22
3,REC,R1->3,6,19,22
3,REC,R1->3,7,19,22
3,REC,R1->3,8,19,22
3,REC,R1->3,9,19,22
3,REC,R1->3,10,19,22
3,REC,R1->3,11,19,22
3,REC,R1->3,12,19,22
3,REC,R1->3,13,19,22
3,REC,R1->3,14,19,22
3,REC,R1->3,15,19,22
3,REC,R1->3,16,19,22
3,REC,R1->3,17,19,22
3,REC,R1->3,18,19,22
3,REC,R1->3,19,19,22
3,REC,R1->3,20,19,22
4,CTRL,C5,0,24,24
4,CTRL,C5,1,24,24
4,CTRL,C5,2,24,24
4,CTRL,C5,3,24,24
4,CTRL,C5,4,21,24
4,CTRL,C5,5,21,24
4,CTRL,C5,6,21,24
4,CTRL,C5,7,21,24
4,CTRL,C5,8,21,24
4,CTRL,C5,9,21,24
4,CTRL,C5,10,21,24
4,CTRL,C5,11,21,24
4,CTRL,C5,12,21,24
4,CTRL,C5,13,21,24
4,CTRL,C5,14,21,24
4,CTRL,C5,15,21,24
4,CTRL,C5,16,21,24
4,CTRL,C5,17,21,24
4,CTRL,C5,18,21,24
4,CTRL,C5,19,20,24
4,CTRL,C5,20,20,24
4,AB,A5,0,23,23
4,AB,A5,1,22,23
4,AB,A5,2,22,23
4,AB,A5,3,22,23
4,AB,A5,4,22,23
4,AB,A5,5,22,23
4,AB,A5,6,20,23
4,AB,A5,7,20,23
4,AB,A5,8,18,23
4,AB,A5,9,18,23
4,AB,A5,10,18,23
4,AB,A5,11,18,23
4,AB,A5,12,18,23
4,AB,A5,13,18,23
4,AB,A5,14,18,23
4,AB,A5,15,18,23
4,AB,A5,16,17,23
4,AB,A5,17,17,23
4,AB,A5,18,17,23
4,AB,A5,19,17,23
4,AB,A5,20,17,23
4,REC,R4->1,0,24,24
4,REC,R4->1,1,24,24
4,REC,R4->1,2,24,24
4,REC,R4->1,3,24,24
4,REC,R4->1,4,24,24
4,REC,R4->1,5,24,24
4,REC,R4->1,6,23,24
4,REC,R4->1,7,23,24
4,REC,R4->1,8,22,24
4,REC,R4->1,9,22,24
4,REC,R4->1,10,22,24
4,REC,R4->1,11,22,24
4,REC,R4->1,12,22,24
4,REC,R4->1,13,22,24
4,REC,R4->1,14,22,24
4,REC,R4->1,15,22,24
4,REC,R4->1,16,22,24
4,REC,R4->1,17,22,24
4,REC,R4->1,18,22,24
4,REC,R4->1,19,22,24
4,REC,R4->1,20,22,24
4,REC,R3->2,0,24,24
4,REC,R3->2,1,24,24
4,REC,R3->2,2,24,24
4,REC,R3->2,3,24,24
4,REC,R3->2,4,22,24
4,REC,R3->2,5,22,24
4,REC,R3->2,6,21,24
4,REC,R3->2,7,21,24
4,REC,R3->2,8,20,24
4,REC,R3->2,9,20,24
4,REC,R3->2,10,20,24
4,REC,R3->2,11,20,24
4,REC,R3->2,12,20,24
4,REC,R3->2,13,20,24
4,REC,R3->2,14,20,24
4,REC,R3->2,15,20,24
4,REC,R3->2,16,20,24
4,REC,R3->2,17,20,24
4,REC,R3->2,18,19,24
4,REC,R3->2,19,19,24
4,REC,R3->2,20,17,24
4,REC,R2->3,0,24,24
4,REC,R2->3,1,24,24
4,REC,R2->3,2,24,24
4,REC,R2->3,3,24,24
4,REC,R2->3,4,24,24
4,REC,R2->3,5,24,24
4,REC,R2->3,6,23,24
4,REC,R2->3,7,23,24
4,REC,R2->3,8,23,24
4,REC,R2->3,9,23,24
4,REC,R2->3,10,23,24
4,REC,R2->3,11,23,24
4,REC,R2->3,12,23,24
4,REC,R2->3,13,23,24
4,REC,R2->3,14,23,24
4,REC,R2->3,15,23,24
4,REC,R2->3,16,23,24
4,REC,R2->3,17,23,24
4,REC,R2->3,18,23,24
4,REC,R2->3,19,23,24
4,REC,R2->3,20,23,24
4,REC,R1->4,0,24,24
4,REC,R1->4,1,24,24
4,REC,R1->4,2,24,24
4,REC,R1->4,3,24,24
4,REC,R1->4,4,24,24
4,REC,R1->4,5,24,24
4,REC,R1->4,6,22,24
