"","asv","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species","polished_genus"
"1","ASV34",946.449873082795,26.2754949562348,4.78481077803213,5.49143867441321,3.98672756786299e-08,8.17279151411912e-07,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium_sp002216065(RS_GCF_002216065_1)","Chryseobacterium(ASV34)"
"2","ASV58",578.179996918526,25.5866343569251,4.78485840797767,5.34741724316547,8.92181825760947e-08,1.37172955710746e-06,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium_greenlandense(RS_GCF_001507325_1)","Chryseobacterium(ASV58)"
"3","ASV4",1509.44203718976,14.3683681088171,2.13750721387443,6.72202087345149,1.79221270606388e-11,1.10221081422929e-09,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA,"Chitinophagales(ASV4)"
"4","ASV44",1383.74621678887,14.2427332311302,3.670448151478,3.88037990003891,0.000104293434654236,0.000610861545831952,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"Brevundimonas(ASV44)"
"5","ASV27",1250.83698284756,14.0970414572137,3.73123631113459,3.77811542387331,0.000158019640990725,0.000845061558341704,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium_greenlandense(RS_GCF_001507325_1)","Chryseobacterium(ASV27)"
"6","ASV50",906.334813891139,13.6323985417952,2.24404492203471,6.07492230121425,1.24047769717731e-09,3.81446891882024e-08,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Aquabacterium",NA,"Aquabacterium(ASV50)"
"7","ASV10",726.732153007541,13.3138144631699,2.29345329222848,5.80513869991802,6.43127430922733e-09,1.58209348006992e-07,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium",NA,"Flavobacterium(ASV10)"
"8","ASV52",363.633250332688,12.3147284272605,2.69566338189954,4.56834800292563,4.9158336011318e-06,3.3591529607734e-05,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Acidovorax_D",NA,"Acidovorax_D(ASV52)"
"9","ASV67",238.395060379663,11.7055517398787,3.06062956674777,3.82455683858435,0.000131007521077109,0.000732451140567473,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Acidovorax_D",NA,"Acidovorax_D(ASV67)"
"10","ASV140",82.5113945465379,10.1746230212398,2.064262458486,4.92893865284077,8.26775282252122e-07,9.68528560846918e-06,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Hydrogenophaga",NA,"Hydrogenophaga(ASV140)"
"11","ASV139",53.3177605523124,9.54543702058262,2.12600776962544,4.48984108005603,7.12763309423171e-06,4.61420458205527e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA,"Sphingomonas(ASV139)"
"12","ASV101",46.5222016859908,9.34911676511695,2.86072184018576,3.26809710534802,0.00108273210401266,0.0044392016264519,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium",NA,"Novosphingobium(ASV101)"
"13","ASV54",31.9137268919827,8.8049409436068,2.45898731880579,3.58071832102125,0.000342650897559254,0.00175608584999118,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium",NA,"Bradyrhizobium(ASV54)"
"14","ASV2",4108.63378379246,5.86524751483735,1.75565731351677,3.34077013189358,0.000835463626728233,0.0035467747628963,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales",NA,NA,NA,"Chitinophagales(ASV2)"
"15","ASV23",288.611197373435,-6.65094846942077,1.97039861893054,-3.37543297357296,0.000736996418635797,0.00335742812934085,"Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas",NA,"Blastomonas(ASV23)"
"16","ASV130",32.9250796089762,-8.11772870979227,2.43008295440785,-3.3405150614582,0.000836231448162543,0.0035467747628963,"Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","Acinetobacter_populi(RS_GCF_002174125_1)","Acinetobacter(ASV130)"
"17","ASV32",35.0514582223944,-8.20773994131981,2.4256701935448,-3.38369987938272,0.000715161307447326,0.00335742812934085,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea",NA,"Bosea(ASV32)"
"18","ASV15",53.0835591847995,-8.80670040245584,2.14115943691472,-4.11305213923992,3.90462153322565e-05,0.000240134224293377,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Hylemonella","Hylemonella_sp001432305(RS_GCF_001432305_1)","Hylemonella(ASV15)"
"19","ASV25",53.4596432263321,-8.81685246350804,2.60090647258443,-3.38991523011092,0.000699142392166338,0.00335742812934085,"Bacteria","Proteobacteria","Gammaproteobacteria","Nevskiales","Nevskiaceae",NA,NA,"Nevskiaceae(ASV25)"
"20","ASV21",65.004818073832,-9.09900109775619,2.83498187726017,-3.20954471375662,0.00132945367126694,0.00527492908276882,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Leaf454","Leaf454_sp001425485(RS_GCF_001425485_1)","Leaf454(ASV21)"
"21","ASV26",93.6771404559718,-9.62625898833064,2.06633474241647,-4.65861546569809,3.18343228397248e-06,2.30330688781538e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella",NA,"Shinella(ASV26)"
"22","ASV71",124.427701951004,-10.0358937363431,3.17794078302621,-3.15798638852747,0.00158862975343053,0.0061062956147486,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium_takakiae(RS_GCF_900129385_1)","Chryseobacterium(ASV71)"
"23","ASV14",128.589572975313,-10.083271734749,2.1210576526496,-4.75388857165345,1.99541041235939e-06,1.53397175450128e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas",NA,"Brevundimonas(ASV14)"
"24","ASV35",191.754678051793,-10.6598571021643,2.213807777598,-4.81516833124975,1.4707585686398e-06,1.29606108437311e-05,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Lewinella_A",NA,"Lewinella_A(ASV35)"
"25","ASV18",212.301572024216,-10.8067024554999,2.24458433659729,-4.81456734741475,1.47519147814825e-06,1.29606108437311e-05,"Bacteria","Bacteroidota","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter","Pedobacter_sp004211595(GB_GCA_004211595_1)","Pedobacter(ASV18)"
"26","ASV24",215.166930793684,-10.8260022728301,2.25595201546148,-4.79886194326499,1.5956973398478e-06,1.3084718186752e-05,"Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Midichloriaceae","Jidaibacter","Jidaibacter_acanthamoeba(RS_GCF_000815465_1)","Jidaibacter(ASV24)"
"27","ASV17",791.694889469881,-12.7055246937623,2.33533198407834,-5.44056467362461,5.31119539381823e-08,9.33252904913774e-07,"Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","Chryseobacterium_gambrini(RS_GCF_900156825_1)","Chryseobacterium(ASV17)"
"28","ASV16",1662.46201358528,-13.7758084672262,2.10538224533104,-6.54313889925491,6.02408307515042e-11,2.46987406081167e-09,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA,"Chitinophagaceae(ASV16)"
"29","ASV9",3550.16017350086,-14.8703721125776,2.10657326353916,-7.05903391539042,1.6766415140866e-12,2.06226906232652e-10,"Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae",NA,NA,"Chitinophagaceae(ASV9)"
"30","ASV92",95.5323667293482,-23.0899145501796,4.78518877183894,-4.82528812365037,1.39801015154839e-06,1.29606108437311e-05,"Bacteria","Firmicutes_C","Negativicutes","Veillonellales","Megasphaeraceae","Megasphaera","Megasphaera_sp000417505(RS_GCF_000417505_1)","Megasphaera(ASV92)"
