"","OTU","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","ASV166",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"2","ASV182",0.541065194411717,2.57349651863267,0.0204091892939434,16,0.0992719163313158,0.804669900174538,"Pearson's product-moment correlation","two.sided"
"3","ASV1598",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"4","ASV508",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"5","ASV1668",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"6","ASV722",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"7","ASV718",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"8","ASV1255",0.149070415747002,0.603019450800934,0.554947931113314,16,-0.341571870022256,0.57586246795264,"Pearson's product-moment correlation","two.sided"
"9","ASV1587",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"10","ASV685",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"11","ASV1146",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"12","ASV258",0.374645338467066,1.61629934514726,0.12557299853982,16,-0.111775458523509,0.716237765510353,"Pearson's product-moment correlation","two.sided"
"13","ASV664",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"14","ASV1072",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"15","ASV203",-0.437803978402933,-1.9478072168627,0.0692038683241514,16,-0.751142372216442,0.036533442289993,"Pearson's product-moment correlation","two.sided"
"16","ASV484",-0.0153144915818204,-0.0612651511184038,0.951906813594345,16,-0.478761479163183,0.454807399411231,"Pearson's product-moment correlation","two.sided"
"17","ASV1079",-0.0153144915818204,-0.0612651511184038,0.951906813594345,16,-0.478761479163183,0.454807399411231,"Pearson's product-moment correlation","two.sided"
"18","ASV1069",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"19","ASV1530",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"20","ASV1318",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"21","ASV1101",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"22","ASV601",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"23","ASV523",-0.0153144915818204,-0.0612651511184038,0.951906813594345,16,-0.478761479163183,0.454807399411231,"Pearson's product-moment correlation","two.sided"
"24","ASV520",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"25","ASV490",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"26","ASV525",0.262875351414948,1.08983097527022,0.291929882978859,16,-0.232533205012457,0.649974893784543,"Pearson's product-moment correlation","two.sided"
"27","ASV1473",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"28","ASV194",-0.392105958463306,-1.70495666041479,0.107538649168756,16,-0.726061391298026,0.0915175501757318,"Pearson's product-moment correlation","two.sided"
"29","ASV167",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"30","ASV1199",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"31","ASV925",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"32","ASV1478",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"33","ASV913",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"34","ASV1026",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"35","ASV215",-0.318949988832403,-1.34610493409523,0.197032201536992,16,-0.683971146887208,0.173800388697421,"Pearson's product-moment correlation","two.sided"
"36","ASV265",-0.0917093134882017,-0.368389714054351,0.717411377433289,16,-0.535645030640052,0.391942292241864,"Pearson's product-moment correlation","two.sided"
"37","ASV1661",-0.192344391256837,-0.784017135823265,0.444482628113193,16,-0.60489499140208,0.301610233112255,"Pearson's product-moment correlation","two.sided"
"38","ASV196",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"39","ASV931",-0.0153144915818204,-0.0612651511184038,0.951906813594345,16,-0.478761479163183,0.454807399411231,"Pearson's product-moment correlation","two.sided"
"40","ASV136",-0.154726156634862,-0.626448700116274,0.539856283013858,16,-0.579719057683154,0.336447908690261,"Pearson's product-moment correlation","two.sided"
"41","ASV897",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"42","ASV371",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"43","ASV13",-0.0641255603076673,-0.257031253126284,0.800430742516821,16,-0.515560622763146,0.415174122897298,"Pearson's product-moment correlation","two.sided"
"44","ASV909",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"45","ASV1145",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"46","ASV1665",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"47","ASV1483",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"48","ASV1317",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"49","ASV185",0.000543733121005241,0.00217493280552576,0.998291542861341,16,-0.466444748807141,0.46729518262568,"Pearson's product-moment correlation","two.sided"
"50","ASV971",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"51","ASV1489",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"52","ASV1028",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"53","ASV277",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"54","ASV1102",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"55","ASV1205",0.149070415747002,0.603019450800934,0.554947931113314,16,-0.341571870022256,0.57586246795264,"Pearson's product-moment correlation","two.sided"
"56","ASV1076",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"57","ASV1322",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"58","ASV75",-0.0178434898993193,-0.0713853246934514,0.943975779645211,16,-0.480708973496713,0.452798664439224,"Pearson's product-moment correlation","two.sided"
"59","ASV21",0.485108776127306,2.21902525926968,0.0412923175893768,16,0.0235789220486306,0.776186076998631,"Pearson's product-moment correlation","two.sided"
