"","OTU","estimate","statistic","p.value","parameter","conf.low","conf.high","method","alternative"
"1","ASV166",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"2","ASV182",0.2465765351001,1.01773027073666,0.323949548188722,16,-0.248952785312574,0.639794028739709,"Pearson's product-moment correlation","two.sided"
"3","ASV1598",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"4","ASV508",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"5","ASV1668",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"6","ASV722",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"7","ASV718",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"8","ASV1255",0.158099232463389,0.640451744940036,0.530944946550893,16,-0.333378077260507,0.582010093337036,"Pearson's product-moment correlation","two.sided"
"9","ASV1587",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"10","ASV685",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"11","ASV1146",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"12","ASV258",0.598060702378581,2.98489038652497,0.00875092389624016,16,0.182011179446548,0.832486647894411,"Pearson's product-moment correlation","two.sided"
"13","ASV664",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"14","ASV1072",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"15","ASV203",-0.271974280218455,-1.13051232460463,0.274922870923967,16,-0.655598634106135,0.223242361089478,"Pearson's product-moment correlation","two.sided"
"16","ASV484",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"17","ASV1079",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"18","ASV1069",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"19","ASV1530",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"20","ASV1318",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"21","ASV1101",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"22","ASV601",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"23","ASV523",-0.241100258203353,-0.993715425138339,0.335153006636438,16,-0.636342079522595,0.25440643905795,"Pearson's product-moment correlation","two.sided"
"24","ASV520",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"25","ASV490",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"26","ASV525",0.132299194430837,0.533889760539675,0.600757398598961,16,-0.356596616496572,0.564313574158586,"Pearson's product-moment correlation","two.sided"
"27","ASV1473",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"28","ASV194",-0.246349523632912,-1.01673272724145,0.324409544296771,16,-0.639651247485216,0.249179485016544,"Pearson's product-moment correlation","two.sided"
"29","ASV167",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"30","ASV1199",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
"31","ASV925",NA,NA,NA,16,NA,NA,"Pearson's product-moment correlation","two.sided"
