"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","gen","0","1",0,4.96527777777783,1.82369218505931,8.10686337049634,0.000179,"***"
"2","gen","0","2",0,2.19791666666671,-0.782453114541473,5.17828644787488,0.258,"ns"
"3","gen","0","3",0,1.50090579710146,-1.39623367899895,4.39804527320187,0.616,"ns"
"4","gen","0","4",0,6.38888888888892,3.5789693119079,9.19880846586995,1.07e-08,"****"
"5","gen","1","2",0,-2.76736111111112,-5.39580019647406,-0.138922025748182,0.0334,"*"
"6","gen","1","3",0,-3.46437198067637,-5.99804621717641,-0.930697744176334,0.00189,"**"
"7","gen","1","4",0,1.42361111111109,-1.0098506251457,3.85707284736789,0.497,"ns"
"8","gen","2","3",0,-0.697010869565247,-3.02779381378515,1.63377207465465,0.925,"ns"
"9","gen","2","4",0,4.19097222222222,1.969535745933,6.41240869851144,3.52e-06,"****"
"10","gen","3","4",0,4.88798309178746,2.7795255680444,6.99644061553053,5.2e-09,"****"
"11","treatment","CTRL","REC",0,0.196325812933866,-1.42431740350901,1.81696902937674,0.956,"ns"
"12","treatment","CTRL","AB",0,-0.813069026384245,-2.69375213112972,1.06761407836123,0.567,"ns"
"13","treatment","REC","AB",0,-1.00939483931811,-2.64379264699606,0.625002968359839,0.315,"ns"
"14","gen:treatment","0:CTRL","1:CTRL",0,1.58333333333339,-4.47660915762871,7.64327582429549,1,"ns"
"15","gen:treatment","0:CTRL","2:CTRL",0,7.00000000000004,0.94005750903794,13.0599424909621,0.00811,"**"
"16","gen:treatment","0:CTRL","3:CTRL",0,-1.29166666666667,-7.35160915762876,4.76827582429543,1,"ns"
"17","gen:treatment","0:CTRL","4:CTRL",0,1.50000000000005,-4.55994249096205,7.55994249096215,1,"ns"
"18","gen:treatment","0:CTRL","0:REC",0,NA,NA,NA,NA,"?"
"19","gen:treatment","0:CTRL","1:REC",0,5.25000000000005,-0.809942490962051,11.3099424909621,0.176,"ns"
"20","gen:treatment","0:CTRL","2:REC",0,-0.979166666666636,-6.22723080931256,4.26889747597929,1,"ns"
"21","gen:treatment","0:CTRL","3:REC",0,0.610714285714295,-4.35484774650478,5.57627631793337,1,"ns"
"22","gen:treatment","0:CTRL","4:REC",0,5.93750000000003,1.14669480973139,10.7283051902687,0.00262,"**"
"23","gen:treatment","0:CTRL","0:AB",0,-2.70833333333333,-8.76827582429543,3.35160915762877,0.972,"ns"
"24","gen:treatment","0:CTRL","1:AB",0,4.00000000000003,-2.05994249096207,10.0599424909621,0.628,"ns"
"25","gen:treatment","0:CTRL","2:AB",0,-1.66666666666662,-7.72660915762872,4.39327582429547,1,"ns"
"26","gen:treatment","0:CTRL","3:AB",0,0.244047619047617,-6.02858878786477,6.51668402596001,1,"ns"
"27","gen:treatment","0:CTRL","4:AB",0,4.95833333333336,-1.10160915762874,11.0182758242955,0.256,"ns"
"28","gen:treatment","1:CTRL","2:CTRL",0,5.41666666666665,-0.643275824295449,11.4766091576287,0.139,"ns"
"29","gen:treatment","1:CTRL","3:CTRL",0,-2.87500000000006,-8.93494249096215,3.18494249096204,0.954,"ns"
"30","gen:treatment","1:CTRL","4:CTRL",0,-0.083333333333341,-6.14327582429544,5.97660915762876,1,"ns"
"31","gen:treatment","1:CTRL","0:REC",0,NA,NA,NA,NA,"?"
"32","gen:treatment","1:CTRL","1:REC",0,3.66666666666666,-2.39327582429544,9.72660915762876,0.759,"ns"
"33","gen:treatment","1:CTRL","2:REC",0,-2.56250000000002,-7.81056414264595,2.6855641426459,0.942,"ns"
"34","gen:treatment","1:CTRL","3:REC",0,-0.972619047619094,-5.93818107983817,3.99294298459998,1,"ns"
"35","gen:treatment","1:CTRL","4:REC",0,4.35416666666664,-0.436638523602002,9.14497185693528,0.122,"ns"
"36","gen:treatment","1:CTRL","0:AB",0,-4.29166666666672,-10.3516091576288,1.76827582429538,0.505,"ns"
"37","gen:treatment","1:CTRL","1:AB",0,2.41666666666664,-3.64327582429546,8.47660915762874,0.99,"ns"
"38","gen:treatment","1:CTRL","2:AB",0,-3.25000000000001,-9.30994249096211,2.80994249096209,0.885,"ns"
