"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","gen","0","1",0,-0.0815602836879461,-0.162944558365406,-0.000176009010486644,0.0492,"*"
"2","gen","0","2",0,0.0721313829787227,-0.00695339778115342,0.151216163738599,0.0928,"ns"
"3","gen","0","3",0,0.0735425531914893,-0.00333183590360697,0.150416942286586,0.0684,"ns"
"4","gen","0","4",0,0.202640253946465,0.128930788669432,0.276349719223499,0,"****"
"5","gen","1","2",0,0.153691666666669,0.0829934315570036,0.224389901776334,5.62e-08,"****"
"6","gen","1","3",0,0.155102836879435,0.0868861996233519,0.223319474135519,1.18e-08,"****"
"7","gen","1","4",0,0.284200537634411,0.219571417485596,0.348829657783227,0,"****"
"8","gen","2","3",0,0.0014111702127666,-0.0640450134644811,0.0668673538900143,1,"ns"
"9","gen","2","4",0,0.130508870967743,0.068800479688505,0.19221726224698,1.38e-07,"****"
"10","gen","3","4",0,0.129097700754976,0.0702487865323833,0.187946614977569,4.14e-08,"****"
"11","treatment","CTRL","REC",0,-0.0258756337678978,-0.0692265663248473,0.0174752987890517,0.34,"ns"
"12","treatment","CTRL","AB",0,0.0481265468204723,-0.00380475204551994,0.100057845686465,0.0758,"ns"
"13","treatment","REC","AB",0,0.0740021805883702,0.0279884698993518,0.120015891277389,0.000522,"***"
"14","gen:treatment","0:CTRL","1:CTRL",0,-0.0893242753623222,-0.245703518521711,0.067054967797066,0.826,"ns"
"15","gen:treatment","0:CTRL","2:CTRL",0,0.211708333333331,0.0570016435365154,0.366415023130147,0.000401,"***"
"16","gen:treatment","0:CTRL","3:CTRL",0,0.029458333333332,-0.132799411796683,0.191716078463347,1,"ns"
"17","gen:treatment","0:CTRL","4:CTRL",0,0.197308333333333,0.0350505882033178,0.359566078463348,0.00365,"**"
"18","gen:treatment","0:CTRL","0:REC",0,NA,NA,NA,NA,"?"
"19","gen:treatment","0:CTRL","1:REC",0,-0.0463750000000029,-0.201081689796819,0.108331689796813,1,"ns"
"20","gen:treatment","0:CTRL","2:REC",0,0.0317083333333321,-0.106665536650529,0.170082203317193,1,"ns"
"21","gen:treatment","0:CTRL","3:REC",0,0.0732416666666662,-0.0561952365237365,0.202678569857069,0.836,"ns"
"22","gen:treatment","0:CTRL","4:REC",0,0.19666996124031,0.0729495904517123,0.320390332028907,1.03e-05,"****"
"23","gen:treatment","0:CTRL","0:AB",0,0.0354583333333327,-0.120920909826056,0.191837576492721,1,"ns"
"24","gen:treatment","0:CTRL","1:AB",0,-0.0574053030303068,-0.21558898178864,0.100778375728026,0.996,"ns"
"25","gen:treatment","0:CTRL","2:AB",0,0.0505833333333334,-0.122384004146493,0.22355067081316,1,"ns"
"26","gen:treatment","0:CTRL","3:AB",0,0.254315476190476,0.0740876367582185,0.434543315622734,0.000206,"***"
"27","gen:treatment","0:CTRL","4:AB",0,0.356624999999999,0.189522676519635,0.523727323480363,1.63e-10,"****"
"28","gen:treatment","1:CTRL","2:CTRL",0,0.301032608695653,0.144653365536265,0.457411851855041,1.64e-08,"****"
"29","gen:treatment","1:CTRL","3:CTRL",0,0.118782608695654,-0.0450706295326209,0.282635846923929,0.462,"ns"
"30","gen:treatment","1:CTRL","4:CTRL",0,0.286632608695655,0.12277937046738,0.45048584692393,5.45e-07,"****"
"31","gen:treatment","1:CTRL","0:REC",0,NA,NA,NA,NA,"?"
"32","gen:treatment","1:CTRL","1:REC",0,0.0429492753623193,-0.113429967797069,0.199328518521708,1,"ns"
"33","gen:treatment","1:CTRL","2:REC",0,0.121032608695654,-0.0192087394065564,0.261273956797865,0.181,"ns"
"34","gen:treatment","1:CTRL","3:REC",0,0.162565942028988,0.0311345160657256,0.293997367992251,0.00274,"**"
"35","gen:treatment","1:CTRL","4:REC",0,0.285994236602632,0.160188680400678,0.411799792804586,0,"****"
"36","gen:treatment","1:CTRL","0:AB",0,0.124782608695655,-0.0332514873542736,0.282816704745584,0.312,"ns"
"37","gen:treatment","1:CTRL","1:AB",0,0.0319189723320155,-0.127900876400031,0.191738821064062,1,"ns"
"38","gen:treatment","1:CTRL","2:AB",0,0.139907608695656,-0.0345573094342513,0.314372526825563,0.287,"ns"
"39","gen:treatment","1:CTRL","3:AB",0,0.343639751552798,0.161974174379701,0.525305328725896,3.27e-08,"****"
