contrast,generation,contrast_name,estimate,SE,df,lower.CL,upper.CL,p.value
Generation 0: C - A,0, C - A,-0.03545833333333359,0.04359073115368988,394,-0.16278615089096105,0.09186948422429386,0.9989677475478175
Generation 1: C - R1,1, C - R1,-0.042949275362319295,0.04359073115368988,394,-0.17027709291994675,0.08437854219530816,0.992811835402874
Generation 1: C - A,1, C - A,-0.031918972332015016,0.044549800333803416,394,-0.16204821538443603,0.098210270720406,0.9997516869449232
Generation 2: C - R1,2, C - R1,0.18258333333333354,0.044638105277409294,394,0.052196152975175575,0.31297051369149154,7.750850523828845e-4
Generation 2: C - R2,2, C - R2,0.17714473684210574,0.04587399574004288,394,0.043147540519943905,0.3111419331642676,0.0019194116060996524
Generation 2: C - A,2, C - A,0.16112500000000018,0.048214664261853515,394,0.02029074895037347,0.3019592510496269,0.012945193198916627
Generation 3: C - R1,3, C - R1,3.157894736851574e-4,0.04785807970602386,394,-0.1394768838811682,0.1401084628285385,1
Generation 3: C - R2,3, C - R2,-0.04838095238095308,0.046674754961839225,394,-0.18471715338144873,0.08795524861954257,0.9885521558735094
Generation 3: C - R3,3, C - R3,-0.08085000000000031,0.04724053022445794,394,-0.21883882135144497,0.05713882135144435,0.6824162630010362
Generation 3: C - A,3, C - A,-0.22485714285714353,0.052056528909922746,394,-0.37691341813173096,-0.0728008675825561,2.9159865277250674e-4
Generation 4: C - R1,4, C - R1,-0.15460454545454505,0.04615439583794534,394,-0.2894207859075104,-0.019788305001579687,0.012600367843394134
Generation 4: C - R2,4, C - R2,-0.02949782608695717,0.045674108097519865,394,-0.16291115385253388,0.10391550167861954,0.9999277553080044
Generation 4: C - R3,4, C - R3,0.13573421052631662,0.04785807970602386,394,-0.004058462828536724,0.27552688388116997,0.06418065054869282
Generation 4: C - R4,4, C - R4,0.07071363636363648,0.04615439583794534,394,-0.06410260408932889,0.20552987681660184,0.812164730344643
Generation 4: C - A,4, C - A,-0.15931666666666722,0.04853503100388795,394,-0.30108670376533886,-0.017546629567995548,0.015834286751916782
