,Df,SumsOfSqs,MeanSqs,F.Model,R2,Pr..F.,variables,group1,group2
1,1,0.358832169,0.358832169,4.039644205,0.502465545,0.066666667,treatment,C1,A1
2,4,0.355310667,0.088827667,NA,0.497534455,NA,Residuals,C1,A1
3,5,0.714142837,NA,NA,1,NA,Total,C1,A1
4,1,0.37483477,0.37483477,1.765606692,0.306230859,0.066666667,treatment,C2,R1->1
5,4,0.849192002,0.212298001,NA,0.693769141,NA,Residuals,C2,R1->1
6,5,1.224026772,NA,NA,1,NA,Total,C2,R1->1
7,1,0.360394517,0.360394517,2.634205654,0.467538073,0.1,treatment,C2,A2
8,3,0.41044007,0.136813357,NA,0.532461927,NA,Residuals,C2,A2
9,4,0.770834587,NA,NA,1,NA,Total,C2,A2
10,1,0.164532584,0.164532584,2.057340173,0.255337385,0.027,treatment,C3,R1->2
11,6,0.479840679,0.079973447,NA,0.744662615,NA,Residuals,C3,R1->2
12,7,0.644373264,NA,NA,1,NA,Total,C3,R1->2
13,1,0.169420522,0.169420522,1.954359459,0.245696648,0.08,treatment,C3,R2->1
14,6,0.520131097,0.086688516,NA,0.754303352,NA,Residuals,C3,R2->1
15,7,0.689551618,NA,NA,1,NA,Total,C3,R2->1
16,1,0.693761529,0.693761529,4.420637559,0.424219491,0.033,treatment,C3,A3
17,6,0.941621909,0.156936985,NA,0.575780509,NA,Residuals,C3,A3
18,7,1.635383438,NA,NA,1,NA,Total,C3,A3
19,1,0.154568391,0.154568391,1.976475936,0.247788115,0.063,treatment,C4,R1->3
20,6,0.469224204,0.078204034,NA,0.752211885,NA,Residuals,C4,R1->3
21,7,0.623792595,NA,NA,1,NA,Total,C4,R1->3
22,1,0.07197254,0.07197254,1.185009466,0.1915938,0.335,treatment,C4,R2->2
23,5,0.303679176,0.060735835,NA,0.8084062,NA,Residuals,C4,R2->2
24,6,0.375651716,NA,NA,1,NA,Total,C4,R2->2
25,1,0.185485549,0.185485549,2.857227941,0.322587153,0.032,treatment,C4,R3->1
26,6,0.389508053,0.064918009,NA,0.677412847,NA,Residuals,C4,R3->1
27,7,0.574993601,NA,NA,1,NA,Total,C4,R3->1
28,1,0.899273406,0.899273406,12.40620813,0.712746167,0.028,treatment,C4,A4
29,5,0.362428792,0.072485758,NA,0.287253833,NA,Residuals,C4,A4
30,6,1.261702198,NA,NA,1,NA,Total,C4,A4
31,1,0.595763857,0.595763857,7.624691836,0.559623067,0.033,treatment,C5,R1->4
32,6,0.468816736,0.078136123,NA,0.440376933,NA,Residuals,C5,R1->4
33,7,1.064580593,NA,NA,1,NA,Total,C5,R1->4
34,1,0.973949102,0.973949102,12.17324669,0.669844354,0.034,treatment,C5,R2->3
35,6,0.480044047,0.080007341,NA,0.330155646,NA,Residuals,C5,R2->3
36,7,1.453993149,NA,NA,1,NA,Total,C5,R2->3
37,1,0.458421237,0.458421237,3.971369063,0.398277211,0.057,treatment,C5,R3->2
38,6,0.692589225,0.115431537,NA,0.601722789,NA,Residuals,C5,R3->2
39,7,1.151010462,NA,NA,1,NA,Total,C5,R3->2
40,1,0.320379904,0.320379904,1.67197665,0.217932969,0.181,treatment,C5,R4->1
41,6,1.149704708,0.191617451,NA,0.782067031,NA,Residuals,C5,R4->1
42,7,1.470084612,NA,NA,1,NA,Total,C5,R4->1
43,1,0.656362825,0.656362825,5.050484221,0.558034697,0.066666667,treatment,C5,A5
44,4,0.519841501,0.129960375,NA,0.441965303,NA,Residuals,C5,A5
45,5,1.176204326,NA,NA,1,NA,Total,C5,A5
46,1,0.731128071,0.731128071,7.972793003,0.570594082,0.033,treatment,C1,C5
47,6,0.550217273,0.091702879,NA,0.429405918,NA,Residuals,C1,C5
48,7,1.281345343,NA,NA,1,NA,Total,C1,C5
49,1,0.535013474,0.535013474,3.293050278,0.622146041,0.333333333,treatment,A1,A5
50,2,0.324934895,0.162467448,NA,0.377853959,NA,Residuals,A1,A5
51,3,0.859948369,NA,NA,1,NA,Total,A1,A5
52,1,0.623458223,0.623458223,4.723797314,0.440496699,0.036,treatment,R1->1,R2->1
53,6,0.791894548,0.131982425,NA,0.559503301,NA,Residuals,R1->1,R2->1
54,7,1.415352772,NA,NA,1,NA,Total,R1->1,R2->1
55,1,0.797755057,0.797755057,6.040743332,0.501691894,0.025,treatment,R1->1,R3->1
56,6,0.792374395,0.132062399,NA,0.498308106,NA,Residuals,R1->1,R3->1
57,7,1.590129453,NA,NA,1,NA,Total,R1->1,R3->1
58,1,0.57880591,0.57880591,2.388363971,0.284723455,0.023,treatment,R1->1,R4->1
59,6,1.454064582,0.242344097,NA,0.715276545,NA,Residuals,R1->1,R4->1
60,7,2.032870492,NA,NA,1,NA,Total,R1->1,R4->1
61,1,0.191447838,0.191447838,3.033169375,0.335781302,0.05,treatment,R2->1,R3->1
62,6,0.378708502,0.063118084,NA,0.664218698,NA,Residuals,R2->1,R3->1
63,7,0.57015634,NA,NA,1,NA,Total,R2->1,R3->1
64,1,0.264697527,0.264697527,1.526515924,0.202818401,0.079,treatment,R2->1,R4->1
65,6,1.040398688,0.173399781,NA,0.797181599,NA,Residuals,R2->1,R4->1
66,7,1.305096216,NA,NA,1,NA,Total,R2->1,R4->1
67,1,0.379381314,0.379381314,2.186890981,0.267121058,0.031,treatment,R3->1,R4->1
68,6,1.040878535,0.173479756,NA,0.732878942,NA,Residuals,R3->1,R4->1
69,7,1.420259849,NA,NA,1,NA,Total,R3->1,R4->1
