"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","generation","0","1",0,3.60700781607019,-2.77593076283848,9.98994639497887,0.509,"ns"
"2","generation","0","2",0,-5.09346248921232,-10.8910543637969,0.704129385372298,0.111,"ns"
"3","generation","0","3",0,-5.97848590053254,-11.6875597239908,-0.269412077074256,0.0358,"*"
"4","generation","0","4",0,-4.63974113739336,-10.2175543385569,0.938072063770163,0.146,"ns"
"5","generation","1","2",0,-8.70047030528251,-13.74662632386,-3.65431428670506,9.22e-05,"****"
"6","generation","1","3",0,-9.58549371660273,-14.5296966797984,-4.64129075340711,1.04e-05,"****"
"7","generation","1","4",0,-8.24674895346355,-13.0387860074365,-3.45471189949059,9.53e-05,"****"
"8","generation","2","3",0,-0.885023411320218,-5.04619026490844,3.276143442268,0.975,"ns"
"9","generation","2","4",0,0.453721351818967,-3.52544762785238,4.43289033149032,0.998,"ns"
"10","generation","3","4",0,1.33874476313918,-2.51031202342889,5.18780154970726,0.863,"ns"
"11","trt_type","CTRL","REC",0,1.84477460851286,-1.10319715431955,4.79274637134527,0.296,"ns"
"12","trt_type","CTRL","AB",0,0.0919882761870845,-3.59463844263911,3.77861499501328,0.998,"ns"
"13","trt_type","REC","AB",0,-1.75278633232578,-4.97605169294265,1.4704790282911,0.396,"ns"
"14","generation:trt_type","0:CTRL","1:CTRL",0,-6.59396196480034,-19.7890540328991,6.60113010329838,0.9,"ns"
"15","generation:trt_type","0:CTRL","2:CTRL",0,-4.24462145147456,-15.0183690101037,6.5291261071546,0.984,"ns"
"16","generation:trt_type","0:CTRL","3:CTRL",0,-8.51666337702707,-19.2904109356562,2.25708418160209,0.276,"ns"
"17","generation:trt_type","0:CTRL","4:CTRL",0,-10.6961154089681,-21.4698629675973,0.0776321496610723,0.0535,"ns"
"18","generation:trt_type","0:CTRL","0:REC",0,NA,NA,NA,NA,"?"
"19","generation:trt_type","0:CTRL","1:REC",0,7.11481298165948,-3.65893457696968,17.8885605402886,0.566,"ns"
"20","generation:trt_type","0:CTRL","2:REC",0,-7.37661183587703,-16.7069509156105,1.9537272438564,0.275,"ns"
"21","generation:trt_type","0:CTRL","3:REC",0,-8.06022106364937,-16.9563503211513,0.835908193852607,0.115,"ns"
"22","generation:trt_type","0:CTRL","4:REC",0,-5.40564267298074,-13.9230379782174,3.11175263225592,0.63,"ns"
