"","term","group1","group2","null.value","estimate","conf.low","conf.high","p.adj","p.adj.signif"
"1","trt_type","CTRL","REC",0,1.19658119658116,-19.4313377025181,21.8245000956805,0.989,"ns"
"2","trt_type","CTRL","AB",0,23.579365079365,-2.21716320696186,49.3758933656919,0.0798,"ns"
"3","trt_type","REC","AB",0,22.3827838827839,-0.171454013035742,44.9370217786035,0.0522,"ns"
"4","generation","0","1",0,28.6348528015194,-16.0286480514042,73.298353654443,0.38,"ns"
"5","generation","0","2",0,-0.175010175010186,-40.7426494267865,40.3926290767662,1,"ns"
"6","generation","0","3",0,-17.4124609957944,-57.3607106038972,22.5357886123085,0.735,"ns"
"7","generation","0","4",0,-11.9570614570615,-50.9868377251279,27.0727148110049,0.909,"ns"
"8","generation","1","2",0,-28.8098629765296,-64.1194607195575,6.49973476649836,0.16,"ns"
"9","generation","1","3",0,-46.0473137973137,-80.6435127946525,-11.451114799975,0.00368,"**"
"10","generation","1","4",0,-40.5919142585808,-74.1233588121264,-7.06046970503532,0.0101,"*"
"11","generation","2","3",0,-17.2374508207842,-46.3544910392992,11.8795893977308,0.462,"ns"
"12","generation","2","4",0,-11.7820512820513,-39.625593080297,16.0614905161944,0.756,"ns"
"13","generation","3","4",0,5.45539953873289,-21.4777048526973,32.3885039301631,0.979,"ns"
"14","trt_type:generation","CTRL:0","REC:0",0,NA,NA,NA,NA,"?"
"15","trt_type:generation","CTRL:0","AB:0",0,53.7499999999999,-38.5803582749962,146.080358274996,0.752,"ns"
"16","trt_type:generation","CTRL:0","CTRL:1",0,26.7499999999999,-65.5803582749962,119.080358274996,0.999,"ns"
"17","trt_type:generation","CTRL:0","REC:1",0,64.4999999999999,-10.8874218473664,139.887421847366,0.173,"ns"
"18","trt_type:generation","CTRL:0","AB:1",0,37.4166666666666,-44.0110554857115,118.844388819045,0.945,"ns"
"19","trt_type:generation","CTRL:0","CTRL:2",0,24.75,-50.6374218473663,100.137421847366,0.997,"ns"
"20","trt_type:generation","CTRL:0","REC:2",0,5.99999999999996,-59.2874224456333,71.2874224456332,1,"ns"
"21","trt_type:generation","CTRL:0","AB:2",0,28.75,-46.6374218473664,104.137421847366,0.988,"ns"
"22","trt_type:generation","CTRL:0","CTRL:3",0,-7,-82.3874218473663,68.3874218473663,1,"ns"
"23","trt_type:generation","CTRL:0","REC:3",0,-11.8863636363637,-74.135478486548,50.3627512138206,1,"ns"
"24","trt_type:generation","CTRL:0","AB:3",0,36.75,-44.6777221523782,118.177722152378,0.952,"ns"
"25","trt_type:generation","CTRL:0","CTRL:4",0,-6.25000000000001,-81.6374218473663,69.1374218473663,1,"ns"
"26","trt_type:generation","CTRL:0","REC:4",0,5.43749999999997,-54.1614899914041,65.036489991404,1,"ns"
"27","trt_type:generation","CTRL:0","AB:4",0,-18.7500000000001,-111.080358274996,73.5803582749961,1,"ns"
"28","trt_type:generation","REC:0","AB:0",0,NA,NA,NA,NA,"?"
"29","trt_type:generation","REC:0","CTRL:1",0,NA,NA,NA,NA,"?"
"30","trt_type:generation","REC:0","REC:1",0,NA,NA,NA,NA,"?"
"31","trt_type:generation","REC:0","AB:1",0,NA,NA,NA,NA,"?"
"32","trt_type:generation","REC:0","CTRL:2",0,NA,NA,NA,NA,"?"
"33","trt_type:generation","REC:0","REC:2",0,NA,NA,NA,NA,"?"
"34","trt_type:generation","REC:0","AB:2",0,NA,NA,NA,NA,"?"
"35","trt_type:generation","REC:0","CTRL:3",0,NA,NA,NA,NA,"?"
"36","trt_type:generation","REC:0","REC:3",0,NA,NA,NA,NA,"?"
"37","trt_type:generation","REC:0","AB:3",0,NA,NA,NA,NA,"?"
"38","trt_type:generation","REC:0","CTRL:4",0,NA,NA,NA,NA,"?"
"39","trt_type:generation","REC:0","REC:4",0,NA,NA,NA,NA,"?"
"40","trt_type:generation","REC:0","AB:4",0,NA,NA,NA,NA,"?"
"41","trt_type:generation","AB:0","CTRL:1",0,-27,-133.613914408887,79.6139144088872,1,"ns"
"42","trt_type:generation","AB:0","REC:1",0,10.75,-81.5803582749962,103.080358274996,1,"ns"
"43","trt_type:generation","AB:0","AB:1",0,-16.3333333333333,-113.658076442788,80.991409776121,1,"ns"
"44","trt_type:generation","AB:0","CTRL:2",0,-28.9999999999999,-121.330358274996,63.3303582749962,0.998,"ns"
"45","trt_type:generation","AB:0","REC:2",0,-47.75,-132.035699949582,36.535699949582,0.785,"ns"
